Name,Quantity,Price,Source
RP2040,1,$6.82,Link to Listing
PCB,1,$3.50,Link to Listing
LED SK6812MINI-E,1,$3.03,Link to Listing
1N4148 Diode,1,$0.78,Link to Listing
DSA Keycap,1,$4,Link to Listing
Cherry MX Switch,1,$7.68,Link to Listing
EC11 Rotary Encoder,1,$1.28,Link to Listing
0.91 inch OLED,1,$2.41,Link to Listing
Screws,1,$1.83,Link to Listing
Heatset inserts,1,$5.72,Link to Listing
Total,,$36.77,
